tcin,sku,description,item_group,ship_week,units,cases,grade,confidence,stream,casepack
94928290,P-DIS-SS-BRU,Biom Refillable Plant-Based Wipes Dispenser - Brushed Stainless,D3-C2,2026-09-13,576.0,144.0,C,C · directional · ±50%,forecast_replenishment,4.0
94928291,K-60WIP-DSN-COM-3PK,"Biom Plastic Free Plant Based Disinfecting Wipes - Variety - 3pk/180ct: Ammonia-Free, Paraben-Free, Mint Scent",D3-C2,2026-09-13,1740.0,435.0,C,C · directional · ±50%,forecast_replenishment,4.0
94928292,P-60WIP-DSN-CIT,"Biom Plastic Free Plant Based Disinfecting Wipes - Fresh Citrus - 60ct: Ammonia-Free, Aluminum-Free, Paraben-Free",D3-C2,2026-09-13,1872.0,156.0,C,C · directional · ±50%,forecast_replenishment,12.0
94928293,K-60WIP-AP-COM,Biom Plant Based Refillable All Purpose Wipes Variety - 3pk/180ct,D3-C2,2026-09-13,1852.0,463.0,C,C · directional · ±50%,forecast_replenishment,4.0
94979715,P-30WIP-BOD-NAT-TRV,Biom Travel Pack Biodegradable Body Wipes - Naturally Fresh - 30ct,D253-C4,2026-09-13,528.0,22.0,C,C · directional · ±50%,forecast_replenishment,24.0
94979716,P-20WIP-SAN-STL-TRV,Biom Travel Pack Biodegradable Hand Sanitizing Wipes - Santal Escape - 20ct,D253-C4,2026-09-13,0.0,0.0,C,C · directional · ±50%,forecast_replenishment,24.0
94979717,K-6DIS-WHI-1SAN-STL,Biom Mini Dispenser with Biodegradable Hand Sanitizing Wipes - Santal Escape - 40ct,D253-C4,2026-09-13,1014.0,169.0,C,C · directional · ±50%,forecast_replenishment,6.0
94979718,P-40WIP-6IN-SAN-STL,Biom Mini Biodegradable Refillable Hand Sanitizing Wipes - Santal Escape - 40ct,D253-C4,2026-09-13,1464.0,61.0,C,C · directional · ±50%,forecast_replenishment,24.0
95285660,P-60WIP-FLU-FRA,Biom Flushable Personal Wipes Fragrance Free - 120ct,,2026-09-13,26016.0,2168.0,A,A · booked PO,booked_forward,12.0
95285660,P-60WIP-FLU-FRA,Biom Flushable Personal Wipes Fragrance Free - 120ct,,2026-09-13,0.0,0.0,C,C · directional · ±50%,forecast_replenishment,12.0
95285661,P-60WIP-FLU-FRA,Biom Flushable Personal Wipes Unscented - 180ct,,2026-09-13,0.0,0.0,C,C · directional · ±50%,forecast_replenishment,4.0
95285662,K-DIS-2FLU-WHI,Biom White Flushable One Handed Kit Personal Wipes Unscented - 120ct,,2026-09-13,15080.0,3770.0,A,A · booked PO,booked_forward,4.0
95285662,K-DIS-2FLU-WHI,Biom White Flushable One Handed Kit Personal Wipes Unscented - 120ct,,2026-09-13,0.0,0.0,C,C · directional · ±50%,forecast_replenishment,4.0
1010810949,P-40WIP-LIT-FRA,Biom Baby Mini Little Messes Hand Wipes Refills Fragrance Free - 40ct,D7,2026-09-13,0.0,0.0,C,C · directional · ±50%,forecast_replenishment,24.0
1010810951,K-6DIS-PER-1LIT,Biom Refillable Mini Dispenser Little Mess Hand Wipes Periwinkle - 40ct,D7,2026-09-13,552.0,92.0,C,C · directional · ±50%,forecast_replenishment,6.0
1011278742,P-20WIP-SAN-BER-TRV,Biom Sanitizing Go-Pack Holiday Bergamot Bloom - Hand Wipes - 20ct,D253-C4,2026-09-13,0.0,0.0,C,C · directional · ±50%,forecast_replenishment,24.0
1011824789,,Biom Pine Forest Disinfecting Wipes Refill All-Purpose Cleaners - 60ct,D3-C2,2026-09-13,0.0,0.0,C,C · directional · ±50%,forecast_replenishment,12.0
1012188490,P-30WIP-LIT-FRA,Biom Little Mess Baby Wipes Go-Pack Unscented - 30ct,D7,2026-09-13,0.0,0.0,C,C · directional · ±50%,forecast_replenishment,24.0
1012188491,P-30WIP-BAB-FRA,Biom Baby Wipes Go-Pack Unscented - 30ct,D7,2026-09-13,0.0,0.0,C,C · directional · ±50%,forecast_replenishment,24.0
1012914812,,Biom Santal Escape Cleaning Wipe Go-Pack All-Purpose Cleaners - 20ct,D3-C2,2026-09-13,0.0,,C,C · directional · ±50%,forecast_replenishment,
1012914813,,Biom Fresh Citrus Disinfecting Wipe Go-Pack All-Purpose Cleaners - 20ct,D3-C2,2026-09-13,0.0,,C,C · directional · ±50%,forecast_replenishment,
89854821,P-DIS-EUC,Biom Refillable Plant-Based Wipes Dispenser - Eucalyptus,D3-C2,2026-09-20,1092.0,182.0,C,C · directional · ±50%,forecast_replenishment,6.0
89854822,P-60WIP-AP-LAV,"Biom Lavender Ease All Purpose Cleaning Wipes Refill - 60ct: Safe for Sensitive Skin, Contains Naturally Derived Ingredients, Removes Grease",D3-C2,2026-09-20,0.0,0.0,C,C · directional · ±50%,forecast_replenishment,12.0
89854823,P-DIS-WHI,"Biom Refillable Plant-Based Wipes Dispenser - White: BPA-Free, Multi-Surface Use, Silicone Components",D3-C2,2026-09-20,948.0,158.0,C,C · directional · ±50%,forecast_replenishment,6.0
89854824,P-60WIP-AP-GRA,"Biom Grapefruit Zest All Purpose Cleaning Wipes Refill - 60ct: Safe for Sensitive Skin, Contains Naturally Derived Ingredients, Multi-Surface Cleaner",D3-C2,2026-09-20,0.0,0.0,C,C · directional · ±50%,forecast_replenishment,12.0
89854825,P-DIS-TAN,Biom Refillable Plant-Based Wipes Dispenser - Sand,D3-C2,2026-09-20,1122.0,187.0,C,C · directional · ±50%,forecast_replenishment,6.0
89854826,P-60WIP-AP-STL,Biom Plant Based Refillable All Purpose Wipes - Santal Escape - 60ct,D3-C2,2026-09-20,3600.0,300.0,C,C · directional · ±50%,forecast_replenishment,12.0
93197977,P-60WIP-AP-NER,Biom Plant Based Refillable All Purpose Wipes - Neroli Dream - 60ct,D3-C2,2026-09-20,1380.0,115.0,C,C · directional · ±50%,forecast_replenishment,12.0
93197978,,Biom Refillable Wipe Dispenser,D3-C2,2026-09-20,0.0,,C,C · directional · ±50%,forecast_replenishment,
93197979,P-60WIP-AP-FRA,Biom Plant Based Refillable All Purpose Wipes - Fragrance Free - 60ct,D3-C2,2026-09-20,2964.0,247.0,C,C · directional · ±50%,forecast_replenishment,12.0
94643458,P-DIS-DGR,"Biom Refillable Wipes Dispenser - Hunter Green: BPA-Free, Silicone Material",D3-C2,2026-09-20,30.0,5.0,C,C · directional · ±50%,forecast_replenishment,6.0
94643459,P-DIS-BLK,"Biom Refillable Wipes Dispenser - Black: BPA-Free, Silicone, Cleaning Tools and Accessories",D3-C2,2026-09-20,30.0,5.0,C,C · directional · ±50%,forecast_replenishment,6.0
94643460,P-DIS-LGR,"Biom Refillable Wipes Dispenser - Seafoam: BPA-Free, Silicone, 8 Inch Height",D3-C2,2026-09-20,36.0,6.0,C,C · directional · ±50%,forecast_replenishment,6.0
